|Optimizer Name|Running loop number|Epoch number|Average Training Loss
0|SimpleSGD|1|1|0.3332
1|SimpleSGD|1|2|0.1517
2|SimpleSGD|2|1|0.3263
3|SimpleSGD|2|2|0.1623
4|SimpleSGD|3|1|0.3005
5|SimpleSGD|3|2|0.1356
6|SimpleSGD|4|1|0.2906
7|SimpleSGD|4|2|0.131
8|SimpleSGD|5|1|0.3314
9|SimpleSGD|5|2|0.1525
10|SimpleSGD|6|1|0.308
11|SimpleSGD|6|2|0.1485
12|SimpleSGD|7|1|0.2816
13|SimpleSGD|7|2|0.1392
14|SimpleSGD|8|1|0.2919
15|SimpleSGD|8|2|0.1401
16|SimpleSGD|9|1|0.3202
17|SimpleSGD|9|2|0.1475
18|SimpleSGD|10|1|0.3099
19|SimpleSGD|10|2|0.1583
20|SimpleSGDCurvature|1|1|0.0096
21|SimpleSGDCurvature|1|2|0.0001
22|SimpleSGDCurvature|2|1|0.0114
23|SimpleSGDCurvature|2|2|0.0001
24|SimpleSGDCurvature|3|1|0.0104
25|SimpleSGDCurvature|3|2|0.0001
26|SimpleSGDCurvature|4|1|0.0103
27|SimpleSGDCurvature|4|2|0.0001
28|SimpleSGDCurvature|5|1|0.0109
29|SimpleSGDCurvature|5|2|0.0001
30|SimpleSGDCurvature|6|1|0.0107
31|SimpleSGDCurvature|6|2|0.0001
32|SimpleSGDCurvature|7|1|0.0104
33|SimpleSGDCurvature|7|2|0.0001
34|SimpleSGDCurvature|8|1|0.0101
35|SimpleSGDCurvature|8|2|0.0001
36|SimpleSGDCurvature|9|1|0.0103
37|SimpleSGDCurvature|9|2|0.0001
38|SimpleSGDCurvature|10|1|0.0105
39|SimpleSGDCurvature|10|2|0.0001
40|Adam|1|1|0.0087
41|Adam|1|2|0.0096
42|Adam|2|1|0.0097
43|Adam|2|2|0.0005
44|Adam|3|1|0.0093
45|Adam|3|2|0.0001
46|Adam|4|1|0.0102
47|Adam|4|2|0.0001
48|Adam|5|1|0.0098
49|Adam|5|2|0.0032
50|Adam|6|1|0.0148
51|Adam|6|2|0.0001
52|Adam|7|1|0.0081
53|Adam|7|2|0.0001
54|Adam|8|1|0.01
55|Adam|8|2|0.0008
56|Adam|9|1|0.0119
57|Adam|9|2|0.0008
58|Adam|10|1|0.0089
59|Adam|10|2|0.0003
60|HeavyBall|1|1|0.0885
61|HeavyBall|1|2|0.004
62|HeavyBall|2|1|0.1038
63|HeavyBall|2|2|0.0085
64|HeavyBall|3|1|0.0891
65|HeavyBall|3|2|0.0095
66|HeavyBall|4|1|0.0876
67|HeavyBall|4|2|0.0108
68|HeavyBall|5|1|0.0987
69|HeavyBall|5|2|0.0067
70|HeavyBall|6|1|0.0953
71|HeavyBall|6|2|0.0087
72|HeavyBall|7|1|0.0891
73|HeavyBall|7|2|0.0095
74|HeavyBall|8|1|0.0895
75|HeavyBall|8|2|0.0073
76|HeavyBall|9|1|0.0933
77|HeavyBall|9|2|0.007
78|HeavyBall|10|1|0.0951
79|HeavyBall|10|2|0.0067
80|HeavyBallCurvature|1|1|0.0056
81|HeavyBallCurvature|1|2|0.0001
82|HeavyBallCurvature|2|1|0.0063
83|HeavyBallCurvature|2|2|0.0
84|HeavyBallCurvature|3|1|0.0057
85|HeavyBallCurvature|3|2|0.0
86|HeavyBallCurvature|4|1|0.0057
87|HeavyBallCurvature|4|2|0.0
88|HeavyBallCurvature|5|1|0.0063
89|HeavyBallCurvature|5|2|0.0
90|HeavyBallCurvature|6|1|0.0058
91|HeavyBallCurvature|6|2|0.0001
92|HeavyBallCurvature|7|1|0.0056
93|HeavyBallCurvature|7|2|0.0
94|HeavyBallCurvature|8|1|0.0056
95|HeavyBallCurvature|8|2|0.0
96|HeavyBallCurvature|9|1|0.0058
97|HeavyBallCurvature|9|2|0.0
98|HeavyBallCurvature|10|1|0.0059
99|HeavyBallCurvature|10|2|0.0
100|NAG|1|1|0.0885
101|NAG|1|2|0.004
102|NAG|2|1|0.1038
103|NAG|2|2|0.0085
104|NAG|3|1|0.0891
105|NAG|3|2|0.0095
106|NAG|4|1|0.0876
107|NAG|4|2|0.0108
108|NAG|5|1|0.0987
109|NAG|5|2|0.0067
110|NAG|6|1|0.0953
111|NAG|6|2|0.0087
112|NAG|7|1|0.0891
113|NAG|7|2|0.0095
114|NAG|8|1|0.0895
115|NAG|8|2|0.0073
116|NAG|9|1|0.0933
117|NAG|9|2|0.007
118|NAG|10|1|0.0951
119|NAG|10|2|0.0067
120|NAGCurvature|1|1|0.0056
121|NAGCurvature|1|2|0.0001
122|NAGCurvature|2|1|0.0063
123|NAGCurvature|2|2|0.0
124|NAGCurvature|3|1|0.0057
125|NAGCurvature|3|2|0.0
126|NAGCurvature|4|1|0.0057
127|NAGCurvature|4|2|0.0
128|NAGCurvature|5|1|0.0063
129|NAGCurvature|5|2|0.0
130|NAGCurvature|6|1|0.0058
131|NAGCurvature|6|2|0.0001
132|NAGCurvature|7|1|0.0056
133|NAGCurvature|7|2|0.0
134|NAGCurvature|8|1|0.0056
135|NAGCurvature|8|2|0.0
136|NAGCurvature|9|1|0.0058
137|NAGCurvature|9|2|0.0
138|NAGCurvature|10|1|0.0059
139|NAGCurvature|10|2|0.0
140|Adagrad|1|1|0.0118
141|Adagrad|1|2|0.0018
142|Adagrad|2|1|0.0109
143|Adagrad|2|2|0.0014
144|Adagrad|3|1|0.0118
145|Adagrad|3|2|0.0019
146|Adagrad|4|1|0.011
147|Adagrad|4|2|0.0013
148|Adagrad|5|1|0.0141
149|Adagrad|5|2|0.0015
150|Adagrad|6|1|0.0115
151|Adagrad|6|2|0.0014
152|Adagrad|7|1|0.0111
153|Adagrad|7|2|0.0012
154|Adagrad|8|1|0.0111
155|Adagrad|8|2|0.0018
156|Adagrad|9|1|0.0125
157|Adagrad|9|2|0.0025
158|Adagrad|10|1|0.0094
159|Adagrad|10|2|0.0015
160|Adadelta|1|1|0.5621
161|Adadelta|1|2|0.3569
162|Adadelta|2|1|0.5665
163|Adadelta|2|2|0.35
164|Adadelta|3|1|0.5703
165|Adadelta|3|2|0.3446
166|Adadelta|4|1|0.5494
167|Adadelta|4|2|0.3251
168|Adadelta|5|1|0.6468
